Date,Order_ID,Product,Category,Region,Quantity,Unit_Price,Total_Sales,Tax,Profit,Status
2024-05-12,ORD-1000,Headset,Accessories,South,9,75,675,67.5,269.5,Pending
2024-12-04,ORD-1001,Webcam,Electronics,North,2,681,1362,136.2,506.14,Cancelled
2024-10-26,ORD-1002,Laptop,Electronics,North,9,420,3780,378.0,994.23,Completed
2024-07-04,ORD-1003,Laptop,Electronics,West,4,750,3000,300.0,684.99,Cancelled
2024-11-06,ORD-1004,Keyboard,Accessories,North,9,89,801,80.1,257.25,Returned
2024-01-16,ORD-1005,Mouse,Accessories,North,7,16,112,11.2,32.38,Pending
2024-07-15,ORD-1006,Keyboard,Accessories,South,9,81,729,72.9,125.58,Returned
2024-01-19,ORD-1007,Mouse,Accessories,West,5,38,190,19.0,67.41,Pending
2024-04-07,ORD-1008,Laptop,Electronics,North,9,1054,9486,948.6,2521.99,Cancelled
2024-03-15,ORD-1009,Laptop,Electronics,West,7,634,4438,443.8,983.75,Pending
2024-07-01,ORD-1010,Monitor,Electronics,South,3,469,1407,140.7,152.79,Cancelled
2024-03-01,ORD-1011,Mouse,Accessories,South,1,38,38,3.8,11.24,Returned
2024-11-14,ORD-1012,Laptop,Electronics,West,3,1462,4386,438.6,1310.98,Cancelled
2024-07-10,ORD-1013,Monitor,Electronics,South,6,116,696,69.6,126.48,Completed
2024-12-15,ORD-1014,Monitor,Electronics,South,10,564,5640,564.0,1588.08,Pending
2024-03-08,ORD-1015,Mouse,Accessories,West,1,60,60,6.0,17.06,Completed
2024-11-11,ORD-1016,Monitor,Electronics,East,4,144,576,57.6,78.46,Returned
2024-08-18,ORD-1017,Mouse,Accessories,East,10,43,430,43.0,115.1,Returned
2024-12-14,ORD-1018,Keyboard,Accessories,West,4,40,160,16.0,18.85,Pending
2024-04-21,ORD-1019,Keyboard,Accessories,West,4,40,160,16.0,38.88,Cancelled
2024-04-03,ORD-1020,Webcam,Electronics,North,7,179,1253,125.3,165.38,Cancelled
2024-10-10,ORD-1021,Keyboard,Accessories,East,1,28,28,2.8,4.22,Pending
2024-10-01,ORD-1022,Headset,Accessories,East,5,42,210,21.0,37.34,Returned
2024-02-20,ORD-1023,Headset,Accessories,North,5,43,215,21.5,76.28,Cancelled
2024-05-02,ORD-1024,Headset,Accessories,West,3,33,99,9.9,37.21,Completed
2024-08-18,ORD-1025,Monitor,Electronics,North,1,465,465,46.5,171.97,Cancelled
2024-03-01,ORD-1026,Mouse,Accessories,East,8,11,88,8.8,29.74,Cancelled
2024-12-10,ORD-1027,Laptop,Electronics,North,7,202,1414,141.4,441.82,Cancelled
2024-10-05,ORD-1028,Headset,Accessories,West,6,76,456,45.6,90.29,Pending
2024-01-03,ORD-1029,Mouse,Accessories,North,10,98,980,98.0,341.78,Returned
2024-08-04,ORD-1030,Headset,Accessories,North,9,61,549,54.9,188.2,Completed
2024-04-24,ORD-1031,Laptop,Electronics,South,2,1131,2262,226.2,797.14,Returned
2024-11-07,ORD-1032,Monitor,Electronics,South,8,256,2048,204.8,470.06,Pending
