bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,date_year,date_month,date_day_encoded,city_encoded,statezip_encoded,country_encoded,price
3.0,1.5,7.201170883281678,8.976262255609193,1.5,0,0,3,1340,0.0,1955,2005,2014,5,0,36,62,0,313000.0
5.0,2.5,8.202756381655638,9.11063052782717,2.0,0,4,5,3370,5.638354669333745,1921,0,2014,5,0,35,58,0,2384000.0
3.0,2.0,7.565793282428515,9.388319179336001,1.0,0,0,4,1930,0.0,1966,0,2014,5,0,18,26,0,342000.0
3.0,2.25,7.601402334583733,8.991064332188461,1.0,0,0,4,1000,6.90875477931522,1963,0,2014,5,0,3,7,0,420000.0
4.0,2.5,7.57095858316901,9.259225769705994,1.0,0,0,4,1140,6.68586094706836,1976,1992,2014,5,0,31,31,0,550000.0
2.0,1.0,6.78105762593618,8.761080103868347,1.0,0,0,3,880,0.0,1938,1994,2014,5,0,35,54,0,490000.0
2.0,2.0,7.208600337960199,7.848153086199526,1.0,0,0,3,1350,0.0,1976,0,2014,5,0,31,31,0,335000.0
4.0,2.5,7.905072849498666,10.487628691687759,2.0,0,0,3,2710,0.0,1989,0,2014,5,0,21,23,0,482000.0
3.0,2.5,7.796057974316123,11.389932631855782,1.0,0,0,4,1570,6.7580945044277305,1985,0,2014,5,0,27,27,0,452500.0
4.0,2.0,7.327123292259293,8.732465848349879,1.5,0,0,3,1520,0.0,1945,2010,2014,5,0,35,54,0,640000.0
3.0,1.75,7.444833273892193,8.898502209646642,1.0,0,0,3,1710,0.0,1948,1994,2014,5,0,20,67,0,463000.0
4.0,2.5,7.979681302387741,8.294299608857235,1.5,0,0,5,1910,6.918695219020472,1909,1988,2014,5,0,35,48,0,1400000.0
3.0,1.75,7.754052639035757,9.608646582885868,1.0,0,0,3,1970,5.8888779583328805,1980,0,2014,5,0,33,42,0,588500.0
3.0,1.0,6.994849985833071,8.769662508112274,1.0,0,0,4,1090,0.0,1955,2009,2014,5,0,35,49,0,365000.0
5.0,2.75,7.976251943745623,9.15704507491796,1.5,0,0,3,2910,0.0,1939,1969,2014,5,0,35,48,0,1200000.0
3.0,1.5,7.0909098220799835,9.18204377282107,1.0,0,0,4,1200,0.0,1965,0,2014,5,0,18,26,0,242500.0
3.0,1.5,7.359467638255621,8.81001204797317,1.0,0,0,4,1570,0.0,1956,0,2014,5,0,3,6,0,419000.0
4.0,3.0,8.042699496897637,8.886270902072013,2.0,0,0,3,3110,0.0,1997,0,2014,5,0,1,45,0,367500.0
3.0,1.75,7.223295679562314,8.675734219544788,1.0,0,0,3,1370,0.0,1987,2000,2014,5,0,10,73,0,257950.0
3.0,1.5,7.074116816197362,9.237760967552175,1.0,0,0,3,1180,0.0,1983,2009,2014,5,0,27,27,0,275000.0
3.0,1.75,7.714677473800927,9.266626182986775,2.0,0,0,5,1550,6.53813982376767,1923,0,2014,5,0,35,54,0,750000.0
4.0,1.0,7.280008252884188,9.082620630373812,1.0,0,0,4,1450,0.0,1954,1979,2014,5,0,3,5,0,435000.0
3.0,2.25,7.467942332285852,7.360739903058278,2.5,0,0,3,1470,5.638354669333745,2005,0,2014,5,0,35,46,0,626000.0
4.0,2.5,7.912423121473705,9.414260328322634,2.0,0,0,3,2730,0.0,1991,0,2014,5,0,5,9,0,612500.0
4.0,1.75,7.3783837129967145,8.761080103868347,1.0,0,0,3,1130,6.154858094016418,1959,1989,2014,5,0,35,60,0,495000.0
3.0,2.5,7.645397699428633,9.29053691397046,1.0,0,0,4,1360,6.594413459749778,1987,0,2014,5,0,14,2,0,285000.0
3.0,1.75,7.766840537085513,8.894533135798554,1.0,0,0,4,1360,6.90875477931522,1948,0,2014,5,0,35,63,0,615000.0
4.0,2.25,7.696667081526462,9.328212292571072,1.5,0,0,5,1300,6.803505257608338,1920,0,2014,5,0,19,21,0,698000.0
5.0,2.5,7.944846711001996,11.120164318733623,2.0,0,0,3,2820,0.0,1979,2014,2014,5,0,16,17,0,675000.0
3.0,2.5,7.8636512654486515,8.46611040118692,1.0,0,0,4,1700,6.803505257608338,1951,1999,2014,5,0,35,56,0,790000.0
4.0,1.75,7.353081920515432,9.071193240566025,1.0,0,0,4,1560,0.0,1967,0,2014,5,0,19,22,0,382500.0
4.0,2.5,7.95892649305011,8.11552088154677,2.0,0,0,3,2190,6.508769136971682,2004,2003,2014,5,0,42,41,0,499950.0
4.0,2.0,7.507141079727608,8.517393171418904,1.5,0,1,3,1640,5.198497031265826,1945,2010,2014,5,0,35,54,0,650000.0
4.0,2.5,7.944846711001996,9.037057839832897,2.0,0,0,3,2820,0.0,2014,0,2014,5,0,36,67,0,625000.0
4.0,2.5,8.197263371414335,10.666277393424522,1.5,0,0,3,2300,7.193685818395112,1979,2014,2014,5,0,1,45,0,400000.0
3.0,2.5,8.083637203141548,10.408858325619155,2.0,0,2,3,3240,0.0,1995,0,2014,5,0,14,13,0,604000.0
2.0,1.0,6.68586094706836,8.486940148245216,1.0,0,0,4,800,0.0,1944,0,2014,5,0,35,50,0,440000.0
3.0,3.0,7.523481312573497,9.901836189786897,1.0,0,0,4,1090,6.634633357861686,1992,0,2014,5,0,21,23,0,287200.0
3.0,2.0,7.581209826196346,9.48044384215367,1.0,0,2,5,1650,5.739792912179234,1957,0,2014,5,0,26,68,0,403000.0
3.0,2.5,7.779466967458324,8.787372988731876,1.0,0,2,4,1440,6.85751406254539,1955,2009,2014,5,0,35,55,0,750000.0
3.0,2.25,7.365812837209472,9.693753688131835,1.0,0,0,4,1580,0.0,1978,2000,2014,5,0,13,14,0,335000.0
4.0,2.0,7.300472814267799,9.062536177207788,1.0,0,0,4,1480,0.0,1974,0,2014,5,0,32,33,0,260000.0
2.0,1.0,6.7464121285733745,8.728264161496178,1.0,0,0,4,850,0.0,1950,1983,2014,5,0,36,67,0,308500.0
3.0,2.5,7.479299637782834,7.964155718840937,2.0,0,0,3,1770,0.0,1990,2009,2014,5,0,35,55,0,439950.0
2.0,1.0,7.099201743553092,9.148571345578551,1.0,0,0,2,1210,0.0,1949,0,2014,5,0,35,49,0,235000.0
3.0,1.0,7.057036981697891,9.1248914101437,1.0,0,0,3,1160,0.0,1968,1997,2014,5,0,42,44,0,315000.0
3.0,2.25,7.58629630715272,10.465984899076615,2.0,0,0,4,1970,0.0,1977,0,2014,5,0,16,15,0,437500.0
3.0,2.5,7.565793282428515,9.25540933534376,2.0,0,0,3,1930,0.0,1996,0,2014,5,0,32,37,0,407500.0
3.0,2.5,7.147559271189454,7.074116816197362,3.0,0,0,3,1270,0.0,2001,0,2014,5,0,35,50,0,445700.0
4.0,2.5,8.105005537547246,10.668932138591325,2.0,0,0,3,3310,0.0,2001,0,2014,5,0,31,31,0,838000.0
4.0,2.75,7.905072849498666,10.52615861929175,2.0,0,0,3,2710,0.0,2000,0,2014,5,0,16,15,0,630000.0
3.0,1.75,7.976251943745623,10.468829770273567,1.5,0,0,3,2910,0.0,1979,2014,2014,5,0,33,43,0,550000.0
3.0,2.0,7.905072849498666,8.412054873292933,1.5,0,0,4,1880,6.7226297948554485,1929,0,2014,5,0,35,54,0,805000.0
